category,image,name,price
獅薩 鎧甲人,image492.png,討伐木牌掛飾-獅薩&鎧甲人,38
獨眼巨人,image493.png,魔法少女襟章-巨人,18
獨眼巨人,image494.png,韓國24K貼紙-巨人,28
獨眼巨人,image495.png,天使襟章-巨人,48
獨眼巨人,image496.png,天使小立牌-巨人,38
獨眼巨人,image497.png,天使貼紙-巨人,28
獨眼巨人 飛鼠,image498.png,討伐木牌掛飾-飛鼠&巨人,60
吉伊,image499.png,餐廳貼紙-吉伊,40
吉伊,image500.png,餐廳小立牌-吉伊,40
吉伊,image501.png,朱古力型掛飾,18
吉伊,image502.png,拉面透明小卡-吉伊,28
usagi,image503.png,"Sanrio usagi公仔掛飾(日版初版,牌有折痕)	",238
小八,image504.png,Sanrio小八大公仔(日版初版),338
小八,image505.png,Sanrio小八細公仔掛飾(日版初版),258
古本,image506.png,Sanrio古本大公仔(日版初版),308
古本,image507.png,Sanrio古本細公仔掛飾(日版初版),208
吉伊,image508.png,Sanrio吉伊大公仔(日版初版),318
吉伊,image509.png,"Sanrio吉伊細公仔掛飾(日版初版)	",238
飛鼠,image510.png,Sanrio飛鼠大公仔(日版初版),348
飛鼠,image511.png,Sanrio飛鼠細公仔掛飾(日版初版),268
usagi,image512.png,韓國cafe小袋-usagi,128
usagi,image513.png,韓國café心型貼紙-usagi,50
盲抽/盲盒,image514.png,日版麥當勞盲盒第2彈盲盒,45
飛鼠,image515.png,飛鼠賞小公仔(閃亮眼睛),65
飛鼠,image516.png,飛鼠賞小公仔(打喊露),65
飛鼠,image517.png,飛鼠賞小公仔(咀嚼),65
usagi,image518.png,紫藤花usagi公仔,168
吉伊,image519.png,紫藤花吉伊公仔,138
飛鼠,image520.png,飯店公仔-飛鼠,218
吉伊,image521.png,A賞大可麗餅公仔-吉伊,468
小八,image522.png,A賞大可麗餅公仔-小八,478
usagi,image523.png,A賞大可麗餅公仔-usagi,488
吉伊,image524.png,B賞可麗餅店員-吉伊,268
小八,image525.png,B賞可麗餅店員-小八,278
usagi,image526.png,B賞可麗餅店員-usagi,288
吉伊,image527.png,C賞可麗餅公仔掛飾-吉伊,318
